z,y,x,lshifty,lshiftx,rshiftx,rshifty,xshiftmax,yshiftmax,elbowangle,prjelbowangle
1121.05,-340.5,-365.46,-14.22,-49.02,2.11,0.87,0.87,2.11,37.86,34.25
1220.27,-336.06,-364.98,-4.46,-23.43,5.29,-5.36,-4.46,5.29,65.15,64.34
1320.56,-338.91,-370.36,-11.34,-41.01,24.22,-12.34,-11.34,24.22,27.53,20.42
1421.83,-342.02,-374.23,-25.07,-93.09,-11.65,-12.19,-12.19,-11.65,29.93,19.78
1521.45,-340.28,-375.86,-19.58,-104.02,-14.13,6.71,6.71,-14.13,24.19,12.03
1622.49,-342.76,-381.02,-64.79,-137.14,-84.3,20.5,20.5,-84.3,25.58,9.74
1321.53,-242.11,-382.57,8.89,-21.89,34.83,21.04,21.04,34.83,38.02,34.19
1421.56,-240.9,-384.2,7.04,-10.77,65.57,19.99,19.99,65.57,34.12,28.96
1521.89,-242.26,-388.33,-27.53,-52.95,-5.46,15.9,15.9,-5.46,28.11,17.36
1621.97,-241.92,-390.85,-44.86,-112.56,-45.93,36.5,36.5,-45.93,25.85,7.57
1218.86,-138.14,-388.54,5.54,-12.8,75.67,11.11,11.11,75.67,77.99,77.83
1289.23,-141.44,-366.19,-7.53,-12.36,110.51,23.1,23.1,110.51,59.94,58.99
1420.98,-141.88,-396.41,3.84,-22.17,55.77,28.24,28.24,55.77,55.02,53.47
1519.11,-137.36,-397.83,-1.79,-17.59,99.26,33.73,33.73,99.26,38,33.76
1119.68,-41.03,-397.25,-8.25,-36.21,44.01,-7.6,-7.6,44.01,110.61,110.5
1218.7,-40.78,-400.43,16.24,-12.56,77.62,21.25,21.25,77.62,100.5,100.26
1320.11,-40.91,-404.04,26.59,17.18,103.31,37.08,37.08,103.31,84.87,84.68
1224.98,-530.53,-246.82,-19.29,-194.62,-137.44,-6.11,-6.11,-137.44,22.31,9.94
1325.21,-532.27,-250.23,-46.19,-209.94,-167.07,-13.8,-13.8,-167.07,24.63,7.76
1426.11,-532.56,-251.6,-2.85,-211.21,-163.28,60.68,60.68,-163.28,24.96,9.99
1492.77,-524.72,-269.14,-21.89,-225.86,-182.44,40.31,40.31,-182.44,24.86,11.35
1626.42,-534.82,-257.64,-87.99,-296.89,-252.99,-12.64,-12.64,-252.99,25.22,8.33
1124.78,-430.16,-254.49,-15.64,-76.27,-49.44,-11.1,-11.1,-49.44,34.02,30.82
1224.98,-430.79,-257.82,-13.22,-111.61,-55.01,3.12,3.12,-55.01,29.33,23.15
1324.86,-431.75,-261.5,-10.59,-148.3,-84.06,-0.84,-0.84,-84.06,23.71,6.98
1424.48,-429.9,-263.05,-24.32,-113.68,-63.6,-3.71,-3.71,-63.6,24.27,10.35
1525.69,-432.67,-266.68,-23.48,-186.04,-75.58,19.68,19.68,-75.58,23.77,3.76
1626.06,-432.52,-268.31,-63.83,-219.36,-155.23,32.06,32.06,-155.23,25.63,8.15
1193.78,-329.98,-242.02,-15.15,-25.45,27.12,-6.86,-6.86,27.12,43.28,41.07
1324.83,-331.28,-271.45,-4.03,-33.75,30.23,4.11,4.11,30.23,28.7,22.28
1425.16,-330.79,-273.5,-30.41,-21.89,35.56,-7.76,-7.76,35.56,23.91,9.71
1525.35,-331.27,-277.38,-20.73,-66.99,12.14,16.2,16.2,12.14,24.41,7.57
1625.92,-331.69,-279.56,-37.88,-124.53,-51.58,13.16,13.16,-51.58,24.5,9.62
1023.56,-229.56,-273.1,3.74,-26.94,39.42,13.22,13.22,39.42,73.75,72.89
1123.85,-229.81,-275.12,-9.1,-15.12,23.86,2.28,2.28,23.86,85.69,85.34
1193.1,-229.34,-251.62,-5.06,1.78,50.85,5.24,5.24,50.85,60.27,59.58
1293.62,-230.16,-256.04,-3.47,-15.6,21.48,5.98,5.98,21.48,70.52,70.16
1423,-227.3,-283.33,2.12,29.78,71.69,19.54,19.54,71.69,50.6,49.41
1524.88,-231.19,-287.85,-4.53,-7.58,42.83,24.04,24.04,42.83,26.75,15.36
1625.29,-230.84,-290.03,-21.77,-37.37,40.18,31.85,31.85,40.18,26.01,10.05
1023.23,-130.04,-282.95,-3.8,-26.76,20.5,1.63,1.63,20.5,104.75,104.86
1122.67,-128.02,-284.68,-11.72,-37.57,25.63,-0.59,-0.59,25.63,117.5,117.73
1222.2,-127.24,-288.59,-11.6,-1.08,72.93,-0.11,-0.11,72.93,105.04,104.99
1292.8,-129.6,-265.94,-1.26,-1.32,42.06,8.68,8.68,42.06,99.52,99.41
1424.32,-130.35,-293.9,9.56,-10.06,71.97,32,32,71.97,71.16,70.51
1524.54,-131.32,-298.57,-15.36,34.42,106.98,14.75,14.75,106.98,36.16,30.56
1021.45,-28.04,-291.76,14.78,22.11,100.42,20.3,20.3,100.42,107.89,107.99
1122.1,-29.64,-296.76,-11.08,39.65,100.38,1.18,1.18,100.38,113.83,113.87
1222.31,-29.75,-300.24,-11.45,27.23,74.88,0.26,0.26,74.88,116.72,116.72
1291.19,-21.95,-315.54,11.76,54.61,110.31,27.36,27.36,110.31,107.09,107.04
1422.01,-28.07,-305.68,4.78,71.7,137.43,28.34,28.34,137.43,94.64,94.51
1228.24,-521.06,-147.24,-10.36,-173.25,-103.19,11.41,11.41,-103.19,24.74,15.86
1328.57,-521.91,-149.9,4.49,-210.28,-127.18,40.33,40.33,-127.18,23.55,10.71
1428.42,-521.24,-153.57,5.55,-199.99,-151.89,49.09,49.09,-151.89,25.07,11.92
1528.95,-522.6,-156,21.84,-217.34,-138.27,63.56,63.56,-138.27,24.15,9.99
1629.35,-524.29,-159.02,29.45,-288.69,-227.23,104.72,104.72,-227.23,27.08,4.17
1127.75,-419.8,-155.53,-19.45,-90.27,-47.17,-0.02,-0.02,-47.17,25.98,20.06
1227.82,-420.55,-157.87,-0.81,-129.02,-49.91,10.27,10.27,-49.91,26.76,19.79
1296.27,-409.06,-135.31,-6.28,-87.4,-18.65,4.38,4.38,-18.65,25.31,17.19
1428.67,-421.86,-163.89,-9.82,-156.23,-92.09,38.43,38.43,-92.09,23.73,6.98
1528.8,-422.05,-166.42,-10.17,-143.43,-76.41,43.79,43.79,-76.41,23.71,7.03
1628.91,-421.76,-169.64,-0.03,-187.25,-115.35,63.79,63.79,-115.35,25.2,9.44
1227.52,-320.17,-168.9,-8.17,-39.56,5.33,4.98,4.98,5.33,65.85,65.37
1294.41,-305.86,-145.22,-15.5,2.49,31.78,-2.43,-2.43,31.78,59.68,59.26
1428.08,-320.98,-174.64,-14.19,-35.52,9.49,-7.75,-7.75,9.49,25.95,18.25
1528.32,-320.74,-177.11,-5.73,-53.82,-0.85,32.33,32.33,-0.85,24.15,11.06
1628.33,-320.11,-179.61,-12.83,-125.37,-48.83,47.77,47.77,-48.83,24.09,11.2
1026.82,-219.59,-172.61,-11.57,-17.06,-4.27,1.28,1.28,-4.27,87.74,87.49
1126.79,-219.56,-175.52,1.07,22.12,32,-5.98,1.07,32,81.31,81.14
1227.3,-219.91,-178.3,-32.62,12.04,45.88,-23.8,-23.8,45.88,77.14,76.88
1327.67,-220.53,-181.78,-3.43,28.33,67.09,20.51,20.51,67.09,71.67,71.07
1427.72,-220.11,-183.63,-5.02,15.63,66.92,16.48,16.48,66.92,49.15,47.52
1528.31,-221.65,-188.39,23.75,0.32,48.25,66.36,66.36,48.25,25.86,15.04
1628.44,-220.93,-190.65,-17.1,-60.74,6.57,50.56,50.56,6.57,28.14,17.33
1226.38,-119.21,-190.29,-25.3,53.49,53.23,-18.6,-18.6,53.49,112.3,112.26
1327.13,-120.14,-192.64,-14.52,16.06,49.42,1.38,1.38,49.42,97.76,97.64
1427.02,-120.18,-196.56,-4.5,14.34,81.99,34.56,34.56,81.99,83.69,83.47
1527.63,-120.48,-198.93,-24.75,33.87,81.47,19.08,19.08,81.47,71.12,70.66
1125.57,-19.68,-196.67,-19.82,15.14,25.24,-10.51,-10.51,25.24,129.41,129.76
1225.54,-19.55,-199.91,-5.69,72.16,119.38,2.75,2.75,119.38,112.92,112.93
1260.3,107.96,-226.5,-65.05,-119.03,-37.12,-22.57,-22.57,-37.12,26.39,7.2
1425.93,-19.21,-206.16,-19.34,71.26,125.79,12.06,12.06,125.79,90.33,90.11
1231.04,-510.35,-47.6,1.6,-221.29,-134.26,43.83,43.83,-134.26,25.77,18.42
1331.29,-511.25,-50.24,10.22,-231.74,-153.06,72.36,72.36,-153.06,26.3,17.6
1431.61,-511.27,-52.88,25.24,-206.57,-126.63,85.93,85.93,-126.63,25.05,14.62
